Transaction Status,TC Reference ID,Data Type,TC Reference No.,Trade Date,Settlement Date,BR Code,IM Code,Counterparty Code,Fund Code,Security Code,Buy/Sell,Price,Face Value,Proceeds,Last Coupon Date,Next Coupon Date,Accrued Days,Accrued Interest Amount,Other Fee,Capital Gain Tax,Interest Income Tax,Withholding Tax,Net Proceeds,Seller's Tax ID,Purpose of Transaction
NEWM,,1,1700787,20171003,20171005,YJ001,GMT01,BCA01,GMT01FICDANOBP00,FR0075,2,103,10000000000,10300000000,20170515,20171115,143,291440000,,750000,0,750000,10590690000,,2
NEWM,,1,1700788,20171003,20171005,YJ001,GMT01,BCA01,GMT01FICDANOBP00,FR0059,2,104.05,20000000000,20810000000,20170515,20171115,143,544020000,,1500000,0,1500000,21352520000,,2
