Transaction Status,TC Reference ID,Data Type,TC Reference No.,Trade Date,Settlement Date,BR Code,IM Code,Counterparty Code,Fund Code,Security Code,Buy/Sell,Price,Face Value,Proceeds,Last Coupon Date,Next Coupon Date,Accrued Days,Accrued Interest Amount,Other Fee,Capital Gain Tax,Interest Income Tax,Withholding Tax,Net Proceeds,Seller's Tax ID,Purpose of Transaction
NEWM,,1,1700770,20171002,20171004,YJ001,GMT01,BCA01,GMT01FICDANOBP00,FR0076,1,101.4,10000000000,10140000000,20170515,20171115,142,284580000,,12750000,1202500,12750000,10410627500,,2
NEWM,,1,1700769,20171002,20171004,YJ001,GMT01,BCA01,GMT01FICDANOBP00,FR0072,1,109.5,10000000000,10950000000,20170515,20171115,142,318340000,,11750000,6053000,11750000,11250537000,,2
