Transaction Status,Data Type,TD Reference ID,Trade Date,Settlement Date,BR Code,IM Code,Security Code,BUY/SELL,Price,Face Value,TD Reference No.
NEWM,1,,20171002,20171004,YJ001,GMT01,FR0072,1,109.5,10000000000,1700767
NEWM,1,,20171002,20171004,YJ001,GMT01,FR0076,1,101.4,10000000000,1700768
