Data Type,TC Reference No.,Face Value,Acquisition Date,Acquisition Price(%),Acquisition Amount,Capital Gain,Days of Holding Interest,Holding Interest Amount,Total Taxable Income,Tax Rate in %,Tax Amount
2,1700787,10000000000,20171003,102.95,10300000000,5000000,143,291440000,296440000,15,750000
2,1700788,20000000000,20171003,104,20810000000,10000000,143,544020000,554020000,15,1500000
